Composition,Energy Above Convex Hull,magnetic moment,ind. PBE,dir. PBE,PBE bandgap,effective hole mass,|P| LDA,Cation1 en,Cation2 en,Anion en,electronegativity diff bw anion and cation,min of e.n. diff
AgMgF3,0.023,0,2.03,2.65,2.65,6.85,3,1.93,1.31,3.98,-0.74,2.05
AgNiF3,0.047,2,0.56,0.82,0.82,2.05,2,1.93,1.91,3.98,-0.14,2.05
AgTaO3,0.039,0,1.73,2.23,2.23,2.07,19,1.93,1.5,3.44,-0.01,1.51
AgZnF3,0.035,0,1.56,2.27,2.27,1.17,9,1.93,1.65,3.98,-0.4,2.05
BaHfO3,0,0,3.56,3.78,3.78,2.06,3,0.89,1.3,3.44,-1.25,2.14
BaHfS3,0.02,0,0.71,1.13,1.13,1.01,7,0.89,1.3,2.58,-0.39,1.28
BaLiF3,0.022,0,6.58,6.58,6.58,3.65,1,0.89,0.98,3.98,-2.11,3
BaSnO3,0,0,0.34,0.86,0.86,1.99,0,0.89,1.96,3.44,-0.59,1.48
BaTiO3,0,0,2.14,2.64,2.64,10.57,31,0.89,1.54,3.44,-1.01,1.9
BaZrO3,0,0,3.12,3.38,3.38,2.12,8,0.89,1.33,3.44,-1.22,2.11
BaZrS3,0.034,0,0.56,1.01,1.01,1.08,0,0.89,1.33,2.58,-0.36,1.25
BaZrSe3,0.072,0,0.25,0.77,0.77,0.82,0,0.89,1.33,2.55,-0.33,1.22
CaTiO3,0.055,0,1.97,2.48,2.48,2.19,0,1,1.54,3.44,-0.9,1.9
CsCaBr3,0,0,4.4,4.63,4.63,2.07,1,0.79,1,2.96,-1.17,1.96
CsCaCl3,0,0,5.34,5.55,5.55,2.7,0,0.79,1,3.16,-1.37,2.16
CsCaF3,0,0,6.89,6.94,6.94,6.85,0,0.79,1,3.98,-2.19,2.98
CsCaI3,0.01,0,3.71,3.99,3.99,1.54,2,0.79,1,2.66,-0.87,1.66
CsCdCl3,0,0,1.72,2.13,2.13,1.11,0,0.79,1.69,3.16,-0.68,1.47
CsCdF3,0,0,3.26,4.17,4.17,1.19,0,0.79,1.69,3.98,-1.5,2.29
CsGeBr3,0,0,1.48,1.48,1.48,0.24,4,0.79,2.01,2.96,-0.16,0.95
CsGeCl3,0,0,2.17,2.17,2.17,0.32,6,0.79,2.01,3.16,-0.36,1.15
CsGeI3,0,0,1.17,1.17,1.17,0.29,7,0.79,2.01,2.66,0.14,0.65
CsHgF3,0.001,0,0.7,2.41,2.41,0.8,4,0.79,2,3.98,-1.19,1.98
CsIO3,0,0,3.12,3.12,3.12,1.42,35,0.79,2.66,3.44,0.01,0.78
CsMnF3,0.008,0,2.11,3.94,3.94,1.4,0,0.79,1.55,3.98,-1.64,2.43
CsPbBr3,0,0,2.07,2.07,2.07,0.26,2,0.79,2.33,2.96,0.16,0.63
CsPbCl3,0,0,2.48,2.48,2.48,0.28,2,0.79,2.33,3.16,-0.04,0.83
CsPbF3,0,0,3.07,3.07,3.07,0.41,12,0.79,2.33,3.98,-0.86,1.65
CsPbI3,0.033,0,1.51,1.51,1.51,0.23,3,0.79,2.33,2.66,0.46,0.33
CsSnBr3,0,0,0.64,0.64,0.64,0.11,1,0.79,1.96,2.96,-0.21,1
CsSnCl3,0,0,1,1,1,0.14,1,0.79,1.96,3.16,-0.41,1.2
CsSnF3,0.003,0,2.67,2.67,2.67,0.6,3,0.79,1.96,3.98,-1.23,2.02
CsSnI3,0.009,0,0.59,0.59,0.59,0.12,4,0.79,1.96,2.66,0.09,0.7
CsSrBr3,0.013,0,4.18,4.38,4.38,2.47,4,0.79,0.95,2.96,-1.22,2.01
CsSrCl3,0.002,0,4.98,5.15,5.15,3.14,4,0.79,0.95,3.16,-1.42,2.21
CsSrF3,0.004,0,6.19,6.21,6.21,5.74,6,0.79,0.95,3.98,-2.24,3.03
CsSrI3,0.023,0,3.61,3.84,3.84,1.85,4,0.79,0.95,2.66,-0.92,1.71
InCaBr3,0.028,0,3.49,3.64,3.64,3.42,22,1.78,1,2.96,-0.18,1.18
InGeCl3,0.004,0,2.41,2.41,2.41,0.53,26,1.78,2.01,3.16,0.63,1.15
InMnF3,0.011,0,1.25,2.28,2.28,1.38,33,1.78,1.55,3.98,-0.65,2.2
InPbCl3,0.019,0,2.87,2.89,2.89,0.86,0,1.78,2.33,3.16,0.95,0.83
InSnBr3,0.011,0,1.13,1.13,1.13,0.25,0,1.78,1.96,2.96,0.78,1
InSnCl3,0.018,0,2.09,2.1,2.1,0.51,23,1.78,1.96,3.16,0.58,1.2
KCaBr3,0.054,0,3.92,4.2,4.2,1.98,0,0.82,1,2.96,-1.14,1.96
KCaCl3,0.02,0,4.75,5.04,5.04,2.55,0,0.82,1,3.16,-1.34,2.16
KCaF3,0.008,0,6.13,6.29,6.29,5.35,8,0.82,1,3.98,-2.16,2.98
